Rainbow Team,Page,Link Text,Link,Status,Problem,Sessions,Org(s)
Red,https://www.gov.uk/view-driving-licence,Northern Ireland driving licences,https://www.nidirect.gov.uk/information-and-services/motoring/driver-licensing,404,Not Found,1361243,Driver and Vehicle Licensing Agency
Red,https://www.gov.uk/get-vehicle-information-from-dvla,Check if your vehicle is insured on the Motor Insurance Database,https://ownvehicle.askmid.com/,Timeout,Failed to open TCP connection to ownvehicle.askmid.com:443 (execution expired),1162080,Driver and Vehicle Licensing Agency
Red,https://www.gov.uk/apply-first-provisional-driving-licence,Start now,https://apply-for-driving-licence.service.gov.uk/service-start?start=DFP&locale=en,404,Not Found,371218,Driver and Vehicle Licensing Agency
Red,https://www.gov.uk/get-stop-view-mot-reminder,Check if your vehicle is insured on the Motor Insurance Database,https://ownvehicle.askmid.com/,Timeout,Failed to open TCP connection to ownvehicle.askmid.com:443 (execution expired),95306,Driver and Vehicle Standards Agency
Red,https://www.gov.uk/checks-when-buying-a-used-car,Check if your vehicle is insured on the Motor Insurance Database,https://ownvehicle.askmid.com/,Timeout,Failed to open TCP connection to ownvehicle.askmid.com:443 (execution expired),24789,Driver and Vehicle Licensing Agency
Red,https://www.gov.uk/vehicle-registration/new-and-used-vehicles,Check if your vehicle is insured on the Motor Insurance Database,https://ownvehicle.askmid.com/,Timeout,Failed to open TCP connection to ownvehicle.askmid.com:443 (execution expired),22521,Driver and Vehicle Licensing Agency
Red,https://www.gov.uk/vehicle-registration/vehicle-identification-number,Check if your vehicle is insured on the Motor Insurance Database,https://ownvehicle.askmid.com/,Timeout,Failed to open TCP connection to ownvehicle.askmid.com:443 (execution expired),17798,Driver and Vehicle Licensing Agency
Red,https://www.gov.uk/vehicle-registration,Check if your vehicle is insured on the Motor Insurance Database,https://ownvehicle.askmid.com/,Timeout,Failed to open TCP connection to ownvehicle.askmid.com:443 (execution expired),12520,Driver and Vehicle Licensing Agency
Red,https://www.gov.uk/voting-when-living-abroad/renew-your-registration-to-vote-from-abroad,Check what ID you need to vote,https://www.gov.uk/voting-when-living-abroad/how-to-vote/photo-id-youll-need?step-by-step-nav=ff81c31c-3282-49df-85a4-013887130110,404,Not Found,11478,"Ministry of Housing, Communities and Local Government"
Red,https://www.gov.uk/vehicle-registration/new-registrations,Check if your vehicle is insured on the Motor Insurance Database,https://ownvehicle.askmid.com/,Timeout,Failed to open TCP connection to ownvehicle.askmid.com:443 (execution expired),9654,Driver and Vehicle Licensing Agency
Red,https://www.gov.uk/disabled-facilities-grants/how-to-claim,Local Government Ombudsman.,http://www.lgo.org.uk/making-a-complaint/,Timeout,Failed to open TCP connection to www.lgo.org.uk:80 (execution expired),7649,"Ministry of Housing, Communities and Local Government"
Red,https://www.gov.uk/cael-gwybodaeth-cerbyd-gan-dvla,wirio os yw’ch cerbyd wedi ei yswirio,https://ownvehicle.askmid.com/,Timeout,Failed to open TCP connection to ownvehicle.askmid.com:443 (execution expired),7363,Driver and Vehicle Licensing Agency
Red,https://www.gov.uk/electric-vehicle-chargepoint-installers,own a flat or rent any residential property,https://find-government-grants.service.gov.uk/grants/electric-vehicle-chargepoint-grant-for-renters-and-flat-owners-2,404,Not Found,7324,Department for Transport
Red,https://www.gov.uk/uk-toll-roads,Whitney-On-Wye Bridge,https://www.whitneybridge.com/usingthetollbridge,DNS Error,Failed to open TCP connection to www.whitneybridge.com:443 (getaddrinfo: Name or service not known),6054,Highways England
Red,https://www.gov.uk/tenancy-deposit-protection,MyDeposits,http://www.mydeposits.co.uk/,Timeout,Net::ReadTimeout with #<TCPSocket:(closed)>,5403,"Ministry of Housing, Communities and Local Government"
Red,https://www.gov.uk/how-to-vote/photo-id-youll-need,Check what ID you need to vote,https://www.gov.uk/how-to-vote/how-to-vote/photo-id-youll-need?step-by-step-nav=ff81c31c-3282-49df-85a4-013887130110,404,Not Found,4948,"Ministry of Housing, Communities and Local Government"
Red,https://www.gov.uk/how-to-vote/postal-voting,Check what ID you need to vote,https://www.gov.uk/how-to-vote/how-to-vote/photo-id-youll-need?step-by-step-nav=ff81c31c-3282-49df-85a4-013887130110,404,Not Found,4836,"Ministry of Housing, Communities and Local Government"
Red,https://www.gov.uk/rent-to-buy,different scheme in Northern Ireland,https://www.nidirect.gov.uk/articles/rent-own,404,Not Found,4177,Homes England
Red,https://www.gov.uk/traffic-information,Current and planned roadworks,http://www.highways.gov.uk/traffic-information,DNS Error,Failed to open TCP connection to www.highways.gov.uk:80 (getaddrinfo: No address associated with hostname),3764,Highways England
Red,https://www.gov.uk/bring-pet-to-great-britain/which-pet-travel-document,Australian Department of Agriculture,https://www.agriculture.gov.au/biosecurity-trade/export/controlled-goods/live-animals/companion-and-other-live-animals,Timeout,Net::ReadTimeout with #<TCPSocket:(closed)>,3396,"Department for Environment, Food & Rural Affairs"
Red,https://www.gov.uk/done/mot-reminder,Check if your vehicle is insured on the Motor Insurance Database,https://ownvehicle.askmid.com/,Timeout,Failed to open TCP connection to ownvehicle.askmid.com:443 (execution expired),2889,Driver and Vehicle Standards Agency
Red,https://www.gov.uk/how-to-vote/voting-in-person,Check what ID you need to vote,https://www.gov.uk/how-to-vote/how-to-vote/photo-id-youll-need?step-by-step-nav=ff81c31c-3282-49df-85a4-013887130110,404,Not Found,2389,"Ministry of Housing, Communities and Local Government"
Red,https://www.gov.uk/elections-in-the-uk/general-election,Check what ID you need to vote,https://www.gov.uk/elections-in-the-uk/how-to-vote/photo-id-youll-need?step-by-step-nav=ff81c31c-3282-49df-85a4-013887130110,404,Not Found,2271,"Ministry of Housing, Communities and Local Government"
Red,https://www.gov.uk/deposit-protection-schemes-and-landlords,MyDeposits,http://www.mydeposits.co.uk/,Timeout,Net::ReadTimeout with #<TCPSocket:(closed)>,2118,"Ministry of Housing, Communities and Local Government"
Red,https://www.gov.uk/taking-vehicles-out-of-uk/for-less-than-12-months,British Vehicle Rental and Leasing Association ( BVRLA ),https://www.bvrla.co.uk/resource/travelling-abroad.html,404,Not Found,2029,Driver and Vehicle Licensing Agency
Red,https://www.gov.uk/tenancy-deposit-protection/disputes-and-problems,MyDeposits,http://www.mydeposits.co.uk/,Timeout,Net::ReadTimeout with #<TCPSocket:(closed)>,1829,"Ministry of Housing, Communities and Local Government"
Red,https://www.gov.uk/building-regulations-approval/how-to-apply,Building Safety Regulator charging scheme on the Health and Safety Executive website,https://www.hse.gov.uk/building-safety/charging-scheme.htm,404,Not Found,1805,"Ministry of Housing, Communities and Local Government"
Red,https://www.gov.uk/vehicle-registration/old-vehicles,Check if your vehicle is insured on the Motor Insurance Database,https://ownvehicle.askmid.com/,Timeout,Failed to open TCP connection to ownvehicle.askmid.com:443 (execution expired),1684,Driver and Vehicle Licensing Agency
Red,https://www.gov.uk/dispose-business-commercial-waste,what to do in Northern Ireland,https://www.daera-ni.gov.uk/topics/waste,404,Not Found,1623,Environment Agency
Red,https://www.gov.uk/how-to-vote/voting-by-proxy,Check what ID you need to vote,https://www.gov.uk/how-to-vote/how-to-vote/photo-id-youll-need?step-by-step-nav=ff81c31c-3282-49df-85a4-013887130110,404,Not Found,1499,"Ministry of Housing, Communities and Local Government"
Red,https://www.gov.uk/register-a-boat,passenger-carrying certificate,http://www.dft.gov.uk/mca/mcga07-home/workingatsea/mcga-trainingandcert/ds-ss-bml1stop.htm,404,Not Found,1428,Department for Transport
Red,https://www.gov.uk/electric-vehicle-chargepoint-grant-household/apply-for-an-ev-chargepoint-grant-,online application,https://www.find-government-grants.service.gov.uk/grants/electric-vehicle-chargepoint-grant-for-renters-and-flat-owners-1,404,Not Found,1408,Department for Transport
Red,https://www.gov.uk/permits-you-need-for-septic-tanks,in Scotland,https://www.sepa.org.uk/regulations/water/septic-tanks-and-private-sewage-treatment-systems/,404,Not Found,1363,Environment Agency
Red,https://www.gov.uk/vehicle-registration/new-registrations-fee,Check if your vehicle is insured on the Motor Insurance Database,https://ownvehicle.askmid.com/,Timeout,Failed to open TCP connection to ownvehicle.askmid.com:443 (execution expired),1341,Driver and Vehicle Licensing Agency
Red,https://www.gov.uk/become-councillor,Be a Councillor Wales,https://www.beacouncillor.wales/,404,Not Found,1232,"Ministry of Housing, Communities and Local Government"
Red,https://www.gov.uk/elections-in-the-uk/local-government,Check what ID you need to vote,https://www.gov.uk/elections-in-the-uk/how-to-vote/photo-id-youll-need?step-by-step-nav=ff81c31c-3282-49df-85a4-013887130110,404,Not Found,1213,"Ministry of Housing, Communities and Local Government"
Red,https://www.gov.uk/right-of-way-open-access-land/use-public-rights-of-way,Local Government Ombudsman,http://www.lgo.org.uk/make-a-complaint/fact-sheets/transport-and-highways/footpaths-and-rights-of-way,Timeout,Failed to open TCP connection to www.lgo.org.uk:80 (execution expired),998,"Department for Environment, Food & Rural Affairs"
Red,https://www.gov.uk/gwirio-treth-cerbyd,wirio os yw eich cerbyd wedi’i yswirio,https://ownvehicle.askmid.com,Timeout,Failed to open TCP connection to ownvehicle.askmid.com:443 (execution expired),997,Driver and Vehicle Licensing Agency
Red,https://www.gov.uk/check-animal-medicine-licensed,Start now,http://www.vmd.defra.gov.uk/ProductInformationDatabase/,Timeout,Failed to open TCP connection to www.vmd.defra.gov.uk:80 (execution expired),948,Veterinary Medicines Directorate
Red,https://www.gov.uk/vehicle-registration/q-registration-numbers,Check if your vehicle is insured on the Motor Insurance Database,https://ownvehicle.askmid.com/,Timeout,Failed to open TCP connection to ownvehicle.askmid.com:443 (execution expired),835,Driver and Vehicle Licensing Agency
Red,https://www.gov.uk/report-problem-medicine-medical-device,NHS Choices,http://www.nhs.uk/Pages/HomePage.aspx,404,Not Found,784,Medicines and Healthcare products Regulatory Agency
Red,https://www.gov.uk/report-problem-medicine-medical-device,a list of reported side effects,https://yellowcard.mhra.gov.uk/idap,404,Not Found,784,Medicines and Healthcare products Regulatory Agency
Red,https://www.gov.uk/right-of-way-open-access-land/use-your-right-to-roam,Search for open access land in England,http://www.openaccess.naturalengland.org.uk/wps/portal/oasys/maps/MapSearch,SSL Error,SSL_connect returned=1 errno=0 peeraddr=3.171.76.86:443 state=error: certificate verify failed (hostname mismatch),772,"Department for Environment, Food & Rural Affairs"
Red,https://www.gov.uk/register-a-boat/who-to-contact,Scottish Canals,https://www.scottishcanals.co.uk/activities/boating/,404,Not Found,763,Department for Transport
Red,https://www.gov.uk/heart-failure-and-driving,Report your condition online,https://www.driving-medical-condition.service.gov.uk/eligibility/entitlement-gb,404,Not Found,761,Driver and Vehicle Licensing Agency
Red,https://www.gov.uk/search-armed-forces-memorial-roll-of-honour,National Memorial Arboretum,http://www.thenma.org.uk/whats-here/the-memorials/armed-forces-memorial/,404,Not Found,734,Ministry of Defence
Red,https://www.gov.uk/vehicle-registration/reconstructed-classic-vehicles,Check if your vehicle is insured on the Motor Insurance Database,https://ownvehicle.askmid.com/,Timeout,Failed to open TCP connection to ownvehicle.askmid.com:443 (execution expired),662,Driver and Vehicle Licensing Agency
Red,https://www.gov.uk/vehicle-registration/repairs-restorations,Check if your vehicle is insured on the Motor Insurance Database,https://ownvehicle.askmid.com/,Timeout,Failed to open TCP connection to ownvehicle.askmid.com:443 (execution expired),641,Driver and Vehicle Licensing Agency
